asset_id,tag,unit,lower_limit,target,upper_limit,baseline_method,alert_severity_if_exceeded
CM-01,motor_current_A,A,95.0,170.0,210.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,hydraulic_pressure_bar,bar,145.0,210.0,245.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,oil_temperature_C,°C,45.0,68.0,82.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,vibration_mm_s,mm/s,1.2,3.4,5.5,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,utilisation_pct,%,35.0,72.0,90.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,speed_rpm,rpm,750.0,980.0,1200.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,energy_kwh,kWh/4h,150.0,260.0,360.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CM-01,ch4_pct,%,0.0,0.2,0.55,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,motor_current_A,A,55.0,95.0,135.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,oil_temperature_C,°C,35.0,55.0,70.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,vibration_mm_s,mm/s,0.8,2.6,4.2,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,utilisation_pct,%,45.0,78.0,95.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,speed_rpm,rpm,330.0,450.0,560.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,energy_kwh,kWh/4h,80.0,150.0,230.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
TC-01,ch4_pct,%,0.0,0.18,0.5,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,motor_current_A,A,120.0,185.0,235.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,oil_temperature_C,°C,40.0,62.0,76.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,vibration_mm_s,mm/s,1.0,2.8,4.5,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,utilisation_pct,%,70.0,93.0,100.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,speed_rpm,rpm,720.0,900.0,1080.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,energy_kwh,kWh/4h,200.0,330.0,470.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
VF-01,ch4_pct,%,0.0,0.15,0.45,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,motor_current_A,A,80.0,130.0,180.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,oil_temperature_C,°C,38.0,58.0,72.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,vibration_mm_s,mm/s,1.2,3.0,4.8,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,utilisation_pct,%,40.0,76.0,92.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,speed_rpm,rpm,18.0,25.0,32.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,energy_kwh,kWh/4h,120.0,210.0,300.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
DMS-01,ch4_pct,%,0.0,0.05,0.1,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,motor_current_A,A,110.0,180.0,245.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,hydraulic_pressure_bar,bar,0.0,0.0,0.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,oil_temperature_C,°C,42.0,64.0,78.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,vibration_mm_s,mm/s,1.5,4.0,6.5,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
CR-01,utilisation_pct,%,45.0,82.0,96.0,Engineering baseline + statistical envelope,"Warning above target, Critical above upper limit"
