work_order_id,asset_id,event_date,event_type,fault_category,action_taken,downtime_hours,cost_estimate,technician_notes,status
WO-CR-01-018,CR-01,2026-05-05,Planned inspection,Bearings / liners,Planned inspection performed on Crusher 01; condition data reviewed.,4.3,26548,Findings logged; trend monitored against engineering baseline.,In Progress
WO-CM-01-001,CM-01,2026-04-10,Corrective action,Hydraulics / drive train,Corrective action performed on Continuous Miner 01; condition data reviewed.,4.5,50375,Findings logged; trend monitored against engineering baseline.,Completed
WO-DMS-01-016,DMS-01,2026-03-13,Condition-based maintenance,Drive / bearings,Condition-based maintenance performed on DMS Drum 01; condition data reviewed.,1.6,79147,Findings logged; trend monitored against engineering baseline.,Completed
WO-EM-01-025,EM-01,2026-03-05,Corrective action,Metering / calibration,Corrective action performed on Energy Meter 01; condition data reviewed.,0.5,82526,Findings logged; trend monitored against engineering baseline.,In Progress
WO-EMS-01-029,EMS-01,2026-03-03,Lubrication / service,Sensors / calibration,Lubrication / service performed on Underground EMS 01; condition data reviewed.,5.6,41374,Findings logged; trend monitored against engineering baseline.,Completed
WO-CR-01-019,CR-01,2026-02-26,Corrective action,Bearings / liners,Corrective action performed on Crusher 01; condition data reviewed.,5.6,26311,Findings logged; trend monitored against engineering baseline.,Completed
WO-CM-01-003,CM-01,2026-01-31,Planned inspection,Hydraulics / drive train,Planned inspection performed on Continuous Miner 01; condition data reviewed.,4.1,21690,Findings logged; trend monitored against engineering baseline.,Completed
WO-CP-01-023,CP-01,2026-01-23,Condition-based maintenance,Air end / cooling,Condition-based maintenance performed on Compressor 01; condition data reviewed.,3.6,17225,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-VF-01-011,VF-01,2025-12-23,Planned inspection,Bearings / imbalance,Planned inspection performed on Ventilation Fan 01; condition data reviewed.,8.5,13569,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-TC-01-005,TC-01,2025-12-18,Planned inspection,Bearings / belt,Planned inspection performed on Trunk Conveyor 01; condition data reviewed.,1.9,20499,Findings logged; trend monitored against engineering baseline.,Completed
WO-VF-01-012,VF-01,2025-12-02,Planned inspection,Bearings / imbalance,Planned inspection performed on Ventilation Fan 01; condition data reviewed.,3.8,10800,Findings logged; trend monitored against engineering baseline.,Completed
WO-VF-01-010,VF-01,2025-11-24,Condition-based maintenance,Bearings / imbalance,Condition-based maintenance performed on Ventilation Fan 01; condition data reviewed.,4.0,26067,Findings logged; trend monitored against engineering baseline.,Completed
WO-VF-01-013,VF-01,2025-11-20,Condition-based maintenance,Bearings / imbalance,Condition-based maintenance performed on Ventilation Fan 01; condition data reviewed.,1.5,85332,Findings logged; trend monitored against engineering baseline.,In Progress
WO-CP-01-024,CP-01,2025-11-05,Planned inspection,Air end / cooling,Planned inspection performed on Compressor 01; condition data reviewed.,9.1,32247,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-TC-01-006,TC-01,2025-10-08,Lubrication / service,Bearings / belt,Lubrication / service performed on Trunk Conveyor 01; condition data reviewed.,9.9,24657,Findings logged; trend monitored against engineering baseline.,Completed
WO-EMS-01-028,EMS-01,2025-10-01,Condition-based maintenance,Sensors / calibration,Condition-based maintenance performed on Underground EMS 01; condition data reviewed.,4.2,34883,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-CP-01-022,CP-01,2025-09-08,Planned inspection,Air end / cooling,Planned inspection performed on Compressor 01; condition data reviewed.,2.5,41141,Findings logged; trend monitored against engineering baseline.,Completed
WO-TC-01-008,TC-01,2025-09-03,Planned inspection,Bearings / belt,Planned inspection performed on Trunk Conveyor 01; condition data reviewed.,3.6,47706,Findings logged; trend monitored against engineering baseline.,Completed
WO-CM-01-002,CM-01,2025-08-20,Planned inspection,Hydraulics / drive train,Planned inspection performed on Continuous Miner 01; condition data reviewed.,5.8,99087,Findings logged; trend monitored against engineering baseline.,Scheduled
WO-EM-01-027,EM-01,2025-08-09,Corrective action,Metering / calibration,Corrective action performed on Energy Meter 01; condition data reviewed.,3.5,17704,Findings logged; trend monitored against engineering baseline.,Completed
